Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
MyPotli,"Takeaway, Delivery",3.7,18,100,No,No,"North Indian, South Indian",JP Nagar
Myrasoiya.com,Delivery,3.4,20,350,Yes,No,North Indian,Bellandur
Mysore Carnival Restaurant,Quick Bites,3.8,14,350,No,No,"Chinese, Kerala, North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
Mysore Hanumanthu Palav,Casual Dining,3.9,70,500,Yes,No,"South Indian, Fast Food",Malleshwaram
Mystery House,Quick Bites,3.4,6,300,Yes,No,Fast Food,Kalyan Nagar
Mystique Palate,Quick Bites,4.1,337,300,Yes,No,"Chinese, Fast Food",Banashankari
Mysuru Coffee Thindi,Quick Bites,4.1,296,200,Yes,No,"South Indian, Coffee",Basavanagudi
Myu Bar at Gilly's Redefined,"Microbrewery, Bar",4.4,1213,1200,No,Yes,"American, North Indian, Pizza, Finger Food, Continental, Italian","Byresandra,Tavarekere,Madiwala"
Naachiyar's,Casual Dining,3.9,117,600,Yes,No,Chettinad,Brigade Road
Naadan Bhakshanasaala,Quick Bites,3.3,8,250,No,No,"Kerala, South Indian",Electronic City
Naani'z Biryani,Quick Bites,3.3,6,300,No,No,Biryani,HSR
Naati Biriyani,Quick Bites,3.1,4,300,No,No,"Kebab, Biryani","Byresandra,Tavarekere,Madiwala"
Naati Manae,Casual Dining,3.9,484,700,Yes,Yes,"North Indian, South Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala"
Nadan Thattukada,Quick Bites,3.7,35,200,Yes,No,Kerala,Jayanagar
Nadeem's Kitchen,"Takeaway, Delivery",2.9,7,500,Yes,No,"Biryani, Kebab",Kalyan Nagar
Nadella's Kitchen,Quick Bites,3.2,4,300,No,No,"North Indian, Biryani",Bannerghatta Road
Nagappa Naidu Hotel,Quick Bites,2.8,40,200,No,No,South Indian,HSR
Nagarjuna,Casual Dining,4.2,970,800,No,No,"Andhra, Biryani",Marathahalli
Nagarjuna Chimney,Casual Dining,4,920,600,No,No,"Andhra, Biryani",Basavanagudi
Nagas,Food Court,3.3,34,500,Yes,No,"Andhra, South Indian, Hyderabadi",Malleshwaram
Naga's,Food Court,2.7,16,500,No,No,"Hyderabadi, Andhra, North Indian",Bannerghatta Road
Nagashree's,Casual Dining,2.9,46,550,No,No,"South Indian, North Indian, Fast Food",Brigade Road
Nagli Veg & Non Veg,Quick Bites,2.8,40,150,No,No,North Indian,Indiranagar
Naidoo's Donne Biryani,"Takeaway, Delivery",3.5,13,300,Yes,No,"South Indian, Biryani",Frazer Town
Naidu Military Hotel,Casual Dining,2.7,26,600,No,No,"South Indian, Chinese, Biryani",Basavanagudi
Naina Nand Food Express,Quick Bites,3.3,8,300,Yes,No,"North Indian, Chinese",Kalyan Nagar
Nainital North Indian Restaurant,Quick Bites,3.5,73,400,Yes,No,North Indian,Electronic City
Nakkala's Food Hunt,Casual Dining,2.4,135,600,Yes,No,"North Indian, Chinese",Marathahalli
Nakkshatra,Casual Dining,3.9,79,1100,No,Yes,"North Indian, Andhra",Indiranagar
Nalaas Aapakadai,Food Court,2.7,33,400,No,No,"South Indian, Chettinad",Whitefield
NalaMaharaja,Casual Dining,3.3,7,500,No,No,North Indian,New BEL Road
Nalukettu,Delivery,3.5,4,450,Yes,No,Kerala,Kalyan Nagar
Namak,Quick Bites,3.1,5,650,Yes,No,"North Indian, Chinese",Kalyan Nagar
Namak Swad Anusaar,Quick Bites,3.8,155,400,Yes,No,"North Indian, Chinese, Biryani, Rolls",Brookefield
Namakh Store And Cafe,Cafe,3.7,18,400,Yes,No,"Cafe, Continental, American",Malleshwaram
Namana Garden,Quick Bites,2.6,75,400,No,No,"North Indian, South Indian, Chinese, Street Food",Bannerghatta Road
Namana Restaurant,Quick Bites,3.7,30,300,No,No,"North Indian, Chinese, Mangalorean",Rajajinagar
Namaste,Quick Bites,2.8,40,70,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Namaste Kitchen,Casual Dining,3.8,172,400,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Namdhari's Salad Bar,Quick Bites,3.9,82,300,No,No,"Juices, Fast Food, Desserts, Salad",Indiranagar
Nami's Global Kitchen,"Takeaway, Delivery",3.3,6,240,No,No,"Italian, North Indian, Mexican, Chinese",Indiranagar
Namma Atithi,Quick Bites,2.8,40,200,No,No,"North Indian, South Indian, Chinese, Biryani",Electronic City
Namma Banashankari Donne Biryani,Quick Bites,4,94,250,Yes,No,"Biryani, Kebab",Basavanagudi
Namma Biriyani,Quick Bites,3.7,14,250,Yes,No,"Biryani, Chinese, North Indian","Byresandra,Tavarekere,Madiwala"
Namma Biryani,Quick Bites,3.6,24,250,Yes,No,"Biryani, Chinese, North Indian",Banashankari
Namma Brahmin's Idli,Quick Bites,3.6,34,100,Yes,No,South Indian,Banashankari
Namma Halli Jonne Biryani,Quick Bites,3.3,4,300,Yes,No,Biryani,Bannerghatta Road
Namma Kadai,Quick Bites,3.4,4,150,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Namma Kudla,Quick Bites,3.9,200,400,Yes,No,"Mangalorean, North Indian, Chinese, Seafood",Bannerghatta Road
Namma Madurai,Quick Bites,3,178,200,Yes,No,South Indian,Marathahalli
Namms Cafe,Delivery,3.1,7,300,Yes,No,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian","Byresandra,Tavarekere,Madiwala"
Nammura Baduta,Quick Bites,3.3,8,350,Yes,No,South Indian,Malleshwaram
Nammura Donne Biriyani,Quick Bites,3.2,5,300,Yes,No,Biryani,Bannerghatta Road
Nammura Upachara,Quick Bites,3.6,41,300,Yes,No,"Chinese, North Indian, South Indian",Malleshwaram
Nammura Upahara,Quick Bites,3.8,40,100,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Nandana Mess,Mess,3.3,8,350,No,No,"South Indian, Chinese",Sarjapur Road
Nandanam Family Restaurant,Quick Bites,3.3,4,400,No,No,"Kerala, Chinese",Electronic City
Nandanam Restaurant,"Takeaway, Delivery",3.8,50,400,Yes,No,"North Indian, South Indian",Electronic City
Nandanavanam,Quick Bites,3.3,6,300,No,No,South Indian,Old Airport Road
Nanda's,Casual Dining,2.9,361,450,Yes,No,"North Indian, Chinese, Andhra",Bellandur
Nandhana Palace,Casual Dining,4.2,1282,800,No,No,"Andhra, Biryani, North Indian, Chinese",New BEL Road
Nandhanam Restaurant,Quick Bites,3.7,7,300,Yes,No,"South Indian, Kerala","Byresandra,Tavarekere,Madiwala"
Nandhanus Rasoi,Quick Bites,3.4,9,200,Yes,No,"Chinese, Rolls, North Indian",Bannerghatta Road
Nandhanu's Rasoi,Quick Bites,3,175,400,Yes,No,"Chinese, North Indian",Banashankari
Nandhi Andhra Style Family Restaurant,Quick Bites,3.4,13,400,Yes,No,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",Basavanagudi
Nandhini,"Casual Dining, Bar",3.7,111,600,Yes,No,"Andhra, Chinese, North Indian",Kammanahalli
Nandhini Deluxe,Casual Dining,2.6,283,600,No,No,North Indian,Banashankari
Nandhini Paradise,Casual Dining,3.7,289,600,No,Yes,North Indian,Indiranagar
Nandi Bidadi Thatte Idli,Quick Bites,2.9,33,100,No,No,South Indian,Bannerghatta Road
Nandi Chats and Juice,Quick Bites,3.6,47,150,No,No,Street Food,Banashankari
Nandi Mess - Feel Like Mom's,Quick Bites,3.6,30,250,Yes,No,South Indian,Brookefield
Nandighosha,Quick Bites,3.6,535,400,Yes,No,"Bengali, Seafood, Oriya, North Indian, Biryani",Brookefield
Nandini Andhra Style Mess,Quick Bites,3.4,28,350,No,No,"North Indian, Chinese, South Indian",Old Airport Road
Nandini Deluxe,Casual Dining,2.8,55,600,No,No,"North Indian, Chinese",Brookefield
Nandini Dosa Camp,Quick Bites,2.8,40,100,No,No,South Indian,Electronic City
Nandini Swadista Loka,Quick Bites,3.3,4,300,No,No,"North Indian, South Indian, Chinese",Malleshwaram
Nando's,Casual Dining,4.1,308,1200,Yes,No,"Portuguese, Wraps, Burger, Salad",Malleshwaram
Nanna Munna,Quick Bites,3.4,8,200,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Nanna Munna Paratha House,Quick Bites,3.5,12,300,Yes,No,North Indian,Koramangala 5th Block
Napoli Italian Bistro,"Casual Dining, Bar",4.1,1056,1200,Yes,Yes,"Italian, Mexican, Continental, Pizza",Bellandur
Narayana Veg Treat,Quick Bites,3.1,8,350,No,No,"North Indian, South Indian, Chinese",Electronic City
Narmadha's Hyderabad Biriyani,Casual Dining,3.9,204,550,No,No,"Biryani, North Indian, Andhra","Byresandra,Tavarekere,Madiwala"
Nashta Pani -The Gujarat's Special,Quick Bites,3.4,83,200,Yes,No,"Gujarati, Fast Food",Brookefield
Nasi And Mee,Casual Dining,4.4,907,1000,Yes,Yes,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",Whitefield
Nati Biriyani Mane,"Takeaway, Delivery",3.2,4,200,No,No,"Biryani, South Indian",Jayanagar
Nati Palace,Quick Bites,3.5,11,200,Yes,No,"South Indian, North Indian",Bannerghatta Road
Natuna Seafood House,Quick Bites,4.1,76,450,Yes,No,Seafood,Koramangala 4th Block
Natural Ice Cream,Dessert Parlor,4.1,119,150,No,No,"Ice Cream, Desserts",Frazer Town
Natural Mumbai Kulfi,Dessert Parlor,3.5,8,130,Yes,No,Ice Cream,Bannerghatta Road
Natural Veg,Quick Bites,3.1,22,250,Yes,No,"North Indian, Street Food",New BEL Road
Nature's Caff,Cafe,3.9,32,400,No,No,"Continental, Italian, Cafe",Malleshwaram
Nature's Nectar,Casual Dining,3.7,38,600,No,No,"Continental, Healthy Food",HSR
Nature's Restaurant,Quick Bites,3.3,4,300,No,No,"Chinese, Mangalorean, North Indian",Old Airport Road
Navab's,Delivery,3.6,9,600,No,No,Mughlai,Koramangala 4th Block
Navami,Casual Dining,3.5,79,600,Yes,No,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",Basavanagudi
Navami Kitchen,Casual Dining,2.8,40,500,Yes,No,"Andhra, North Indian, Chinese, Seafood",Kalyan Nagar
Navaneetha,Quick Bites,3.3,4,0,No,No,"Andhra, Chinese",Koramangala 7th Block
Navarang Fast Food,Quick Bites,3.6,114,300,Yes,No,"North Indian, Chinese, Kebab, Rolls",Frazer Town
Naveen Kabab & Biriyani Mane,Quick Bites,3.2,9,300,No,No,Biryani,Banashankari
Navi Food Point,Quick Bites,3.6,22,200,Yes,No,Fast Food,Banashankari
Navi's Kitchen,Quick Bites,2.8,40,250,Yes,No,"North Indian, Chinese",HSR
Navrang Kabab Korner,Casual Dining,3.7,349,600,Yes,No,"North Indian, Mughlai, Biryani, Chinese, Kebab",Malleshwaram
Navya Andhra Style Restaurant,Delivery,3.5,12,200,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
Navya Foods,Quick Bites,3.4,7,300,Yes,No,"North Indian, Fast Food",Basavanagudi
Navya's,Casual Dining,2.5,47,800,Yes,No,"Hyderabadi, Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
Nawab Di Biryani,"Takeaway, Delivery",2.8,40,400,No,No,"Biryani, Mughlai",Whitefield
Nawab-E-Khana,Quick Bites,3.1,6,500,No,No,"North Indian, Biryani",Brookefield
Nawabi Handi,Quick Bites,3.4,23,350,No,No,"Biryani, Hyderabadi, North Indian",Brookefield
Nawabi Kitchen,Casual Dining,2.8,40,600,No,No,"North Indian, Chinese",Brookefield
Nawabi Zaica,Casual Dining,3.5,19,600,Yes,No,"North Indian, Mughlai, Chinese",Brookefield
Nawabs Empire,Quick Bites,3.2,5,300,No,No,"North Indian, Chinese, Arabian, Momos",Whitefield
Nawab's Kolkatta Roll,Kiosk,3.4,4,150,No,No,"Street Food, Rolls",Church Street
Nayi Dilli by Anand Sweets,Casual Dining,4,119,1000,No,Yes,"North Indian, Chinese",Bellandur
Neals Cafe,Quick Bites,3.1,14,550,No,No,"North Indian, Chinese",Bannerghatta Road
Nebula,Casual Dining,3.3,6,700,No,No,"North Indian, Chinese, Thai, Italian, South Indian",Malleshwaram
Neema Restaurant,Casual Dining,3.3,4,500,No,No,"Chinese, Nepalese, Tibetan",Sarjapur Road
Neer Dosa Fish Land,Casual Dining,3.6,39,600,No,No,"Seafood, Mangalorean","Byresandra,Tavarekere,Madiwala"
Neer Dose Fish Land,Quick Bites,3.5,8,250,No,No,"South Indian, North Indian, Seafood",Indiranagar
Neethus Kitchen & Restaurant,Quick Bites,2.9,11,400,No,No,"North Indian, Chinese, South Indian",Rajajinagar
Neetu's Kitchen,"Takeaway, Delivery",3.8,21,350,No,No,"Bengali, North Indian",Bellandur
Neffy's - Cakes & More,Bakery,3.5,24,300,No,No,Bakery,Indiranagar
Nellore Abhiruchi,Quick Bites,3.3,7,300,Yes,No,"Biryani, South Indian",HSR
Nellore Bhojanam,Quick Bites,3.1,175,250,Yes,No,Andhra,Bannerghatta Road
Nellore Dosa Camp,Quick Bites,3.3,5,70,No,No,"Andhra, South Indian","Byresandra,Tavarekere,Madiwala"
Nellore Mess & Tiffens,Mess,3,17,200,No,No,"South Indian, Andhra",Whitefield
Nellore Ruchulu,Casual Dining,3.7,30,800,Yes,No,"North Indian, South Indian, Chinese",Bannerghatta Road
Nesara Mullti - Cuisine Family Dining & Garden...,Casual Dining,2.7,61,800,Yes,No,"North Indian, Chinese, South Indian, Beverages",Malleshwaram
Nevermind - Bar & Social,"Bar, Casual Dining",4.4,221,2000,No,Yes,"Continental, Asian, Modern Indian",Old Airport Road
New A1 Chicken Biryani Point,Quick Bites,3.1,6,300,No,No,Biryani,Brigade Road
New Aastha,Quick Bites,3.6,34,250,Yes,No,"North Indian, Chinese",Electronic City
New Agarwal Bhavan,"Quick Bites, Sweet Shop",4.1,253,400,Yes,No,"North Indian, Chinese, Street Food, Mithai",Malleshwaram
New Alameen Restaurant,Quick Bites,3.4,23,300,Yes,No,"Kerala, North Indian, Chinese",Indiranagar
New Ambur Biryani,Quick Bites,2.8,40,300,No,No,"Biryani, Kebab",Brookefield
New Ambur Dum Biryani,Quick Bites,3.2,7,200,No,No,"Biryani, Kebab",HSR
New Ambur Hot Dum Biryani,Quick Bites,3,8,300,No,No,Biryani,Brookefield
New Andhra Chimney,Casual Dining,3.1,71,700,No,No,"Andhra, North Indian, Biryani",Whitefield
New Andhra House,Casual Dining,3.7,522,450,Yes,No,"Andhra, Biryani, Chinese, North Indian",Electronic City
New Andhra Spice,Casual Dining,3.6,22,600,Yes,No,Andhra,"Byresandra,Tavarekere,Madiwala"
New Aroma,Quick Bites,3.3,4,250,No,No,Chinese,Marathahalli
New Arya Bhavan,Quick Bites,3.1,23,300,No,No,"Street Food, Beverages, North Indian",Brigade Road
New Banashankari Donne Biryani,Quick Bites,3.5,12,300,No,No,"Biryani, North Indian",Basavanagudi
New Biriyani Darbar,Casual Dining,3.6,68,450,Yes,No,"Biryani, South Indian, North Indian, Chinese",Frazer Town
New Biryani Mane,Casual Dining,3.7,128,450,Yes,No,"North Indian, Chinese, Biryani, South Indian",Banashankari
New Bombay Vada Pav,Quick Bites,3.4,61,150,No,No,Fast Food,Malleshwaram
New Chickpete Donne Biryani,Quick Bites,3.1,6,300,Yes,No,Biryani,Malleshwaram
New Cool Joint,Quick Bites,3.5,23,150,Yes,No,"Fast Food, Beverages, Ice Cream, Juices, Sandwich",Bellandur
New Curries & Spice Restaurant,Quick Bites,2.9,7,200,Yes,No,South Indian,New BEL Road
New Delhi Dharbaar,Quick Bites,2.8,40,300,No,No,North Indian,New BEL Road
New Delicacy,Casual Dining,3.7,86,500,Yes,No,"Chinese, Thai, Momos",HSR
New Farm Fresh,Quick Bites,3.6,34,650,No,No,"Italian, Pizza","Byresandra,Tavarekere,Madiwala"
New Fishland,Quick Bites,3.9,39,400,No,No,"Seafood, Chinese, North Indian, South Indian",Malleshwaram
New Food Magic,Casual Dining,3.2,153,450,Yes,No,"Andhra, Chinese, North Indian, South Indian",Electronic City
New Friends,Casual Dining,3.8,273,900,Yes,No,"North Indian, Continental, Chinese, Steak","Byresandra,Tavarekere,Madiwala"
New Golden Emperor,Quick Bites,3.7,229,400,Yes,No,"North Indian, Chinese, Fast Food",Malleshwaram
New Gongura Grand,Casual Dining,3.9,368,550,Yes,No,"Andhra, Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
New Gongura's,Casual Dining,3.7,43,550,Yes,No,"Andhra, Biryani, North Indian, Chinese",Bannerghatta Road
New Gowda's Fried Chicken,Quick Bites,3.3,12,300,Yes,No,Biryani,Banashankari
New Grand Restaurant,Casual Dining,3.1,11,500,Yes,No,"North Indian, South Indian, Biryani","Byresandra,Tavarekere,Madiwala"
New Green Leaf Restaurant,Casual Dining,3.6,42,600,No,No,"Kerala, North Indian, Chinese, South Indian",Electronic City
New Hilal Restaurant,Casual Dining,4,108,550,No,No,"North Indian, Chinese",Brigade Road
New Hotel Prashanth,Quick Bites,3.1,8,300,No,No,"Fast Food, Andhra",Electronic City
New Imperial Restaurant,Casual Dining,3.7,39,450,No,No,"North Indian, Chinese",Banashankari
New Indraprasta,Quick Bites,2.8,40,150,No,No,"South Indian, Beverages",Banashankari
New Juice It Up,Quick Bites,2.8,40,200,No,No,"Juices, Fast Food",Marathahalli
New Kabab Plaza,Casual Dining,2.8,40,300,No,No,"Biryani, North Indian",Bannerghatta Road
New Kabab Zone,Casual Dining,2.9,51,500,Yes,No,"North Indian, Chinese",JP Nagar
New Kadai,Casual Dining,3.4,23,550,Yes,No,"North Indian, Chinese",Kalyan Nagar
New Kairali Restaurant,Quick Bites,3.7,93,400,Yes,No,"Kerala, South Indian",Frazer Town
New Karavali Restaurant,Casual Dining,3.3,5,450,Yes,No,"North Indian, Seafood, Mangalorean",Malleshwaram
New Karawali Lunch Home,Quick Bites,3.5,20,350,Yes,No,Mangalorean,Bannerghatta Road
New Khaayaal's Restaurant,Quick Bites,3,106,500,No,No,"North Indian, Chinese, Rolls",Old Airport Road
New Kohinoor Hotel,Casual Dining,3.1,11,450,No,No,North Indian,Residency Road
New Krishna Bhavan,Quick Bites,4.2,600,200,No,No,"South Indian, North Indian, Chinese",Malleshwaram
New Krishna Sagar,Casual Dining,4,51,400,Yes,No,"North Indian, Chinese, South Indian, Street Food",Kalyan Nagar
New Kudla Family Resturant,Quick Bites,3.2,4,450,Yes,No,"North Indian, Chinese",Brigade Road
New Leaf Restaurant,Casual Dining,3.7,58,1500,Yes,Yes,Chinese,Indiranagar
New Limra Hotel,Quick Bites,3.3,5,200,No,No,"South Indian, Biryani, Fast Food",Koramangala 7th Block
New Madhuram,Quick Bites,3.4,7,250,No,No,"Andhra, Biryani",Marathahalli
New Mahesh Friends Food Corner,Quick Bites,3.2,44,300,Yes,No,"North Indian, Chinese",Bannerghatta Road
New Mangalore Lunch Home,Quick Bites,3.3,7,200,No,No,"Mangalorean, South Indian, North Indian",Banashankari
New Mathura Grand,Quick Bites,3.2,4,300,No,No,"South Indian, North Indian, Chinese",Lavelle Road
New Milestone Restaurant,Casual Dining,3.4,6,700,Yes,No,North Indian,Marathahalli
New Modern Hotel,Quick Bites,4.2,280,150,No,No,South Indian,Basavanagudi
New Mogul Empire,Quick Bites,3.3,6,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
New Oottupura Restaurant,Quick Bites,3.5,224,300,Yes,No,Kerala,Malleshwaram
New Paratha Corner,Quick Bites,3.9,175,350,Yes,No,North Indian,Brookefield
New Peking,Casual Dining,4,386,700,Yes,No,"Chinese, Malaysian",Kammanahalli
New Pepper Pot,Quick Bites,2.8,40,400,Yes,No,"North Indian, Chinese",Marathahalli
New Prashanth Hotel,Casual Dining,2.9,34,750,No,No,"South Indian, Biryani, Chinese, North Indian",Banashankari
New Prashanth Naati Style,Casual Dining,3.8,29,400,No,No,"South Indian, Biryani",Brigade Road
New Prashantha Naati Corner,Quick Bites,3.3,6,400,No,No,South Indian,Rajajinagar
New Prashanthi Donne Biryani,Quick Bites,3.2,6,300,No,No,Biryani,Kammanahalli
New Punjabi Dhaba,Quick Bites,3.9,782,300,Yes,No,"North Indian, Chinese",Bellandur
New Punjabi Food Corner,Casual Dining,3.7,70,500,Yes,No,"North Indian, Chinese",Electronic City
New Punjabi Hotel,Quick Bites,3.2,393,400,Yes,No,"North Indian, Chinese",Indiranagar
New Punjabi Pure Veg Restaurant,Quick Bites,3.1,151,450,Yes,No,"North Indian, Chinese",New BEL Road
New Punjabi Tasty Khana,Quick Bites,3,176,400,Yes,No,"North Indian, Biryani, Chinese",Whitefield
New Punjabi Veg Restaurant,Quick Bites,2.9,112,400,Yes,No,"North Indian, Chinese",Kalyan Nagar
New Quality Dum Biryani,Quick Bites,3.1,9,200,No,No,Biryani,Banashankari
New Rajadhani Spicy,Casual Dining,3.7,67,700,Yes,No,North Indian,Banashankari
New Rajalakshmi Sweets,Sweet Shop,3.3,6,300,Yes,No,Mithai,Brookefield
New Roll Centre,Quick Bites,3.3,7,150,No,No,"Fast Food, Rolls",Indiranagar
New Royal Paris Restaurant,Quick Bites,3.4,13,300,No,No,"Chinese, Kerala, North Indian",Indiranagar
New Royal Treat,Quick Bites,2.8,102,350,Yes,No,"North Indian, Chinese",Bannerghatta Road
New Sagar Fast Food,Quick Bites,3.4,13,250,Yes,No,"South Indian, North Indian, Chinese",Malleshwaram
New Salem Spices,Casual Dining,3.5,50,600,No,No,"South Indian, Chettinad, Chinese",Kalyan Nagar
New Samrat Restaurant,Casual Dining,4.1,62,450,No,No,"North Indian, South Indian, Chinese",Malleshwaram
New Savi Sagar,Quick Bites,3.3,4,200,Yes,No,"South Indian, North Indian, Chinese, Street Food",Rajajinagar
New Select Hotel,Quick Bites,3.4,5,200,No,No,South Indian,Brigade Road
New Shanthi Sagar,Casual Dining,2.7,39,550,No,No,"South Indian, North Indian, Chinese, Beverages",Malleshwaram
New Shetty Lunch Bhavan,Quick Bites,2.8,40,300,No,No,"South Indian, Mangalorean","Byresandra,Tavarekere,Madiwala"
New Shetty Lunch Home,Quick Bites,3.3,6,400,No,No,"Mangalorean, Seafood, South Indian",Malleshwaram
New South Corner,Quick Bites,3.7,20,300,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road
New Students Corner,Quick Bites,3.6,17,150,No,No,Fast Food,JP Nagar
NEW SUNRISE RESTAURANTS,Casual Dining,2.7,39,500,No,No,"North Indian, Chinese, Biryani",Jayanagar
New Surya Sweets & Snacks,Sweet Shop,3.2,5,350,No,No,"Mithai, Street Food","Byresandra,Tavarekere,Madiwala"
New Taj,Quick Bites,3.2,118,300,Yes,No,"North Indian, Chinese",Lavelle Road
New Taj Biryani Centre,Quick Bites,2.8,40,300,No,No,Biryani,Kalyan Nagar
New Taj Darbar,Quick Bites,3.1,6,300,No,No,"South Indian, Chinese, North Indian",Whitefield
New Tandoor,Casual Dining,3.5,293,550,Yes,No,"North Indian, Chinese, Mughlai, Rolls",Old Airport Road
New Tandoor Fusion,Quick Bites,3.1,4,350,Yes,No,"North Indian, Chinese",Marathahalli
New Tandoori Point,Casual Dining,2.4,56,600,Yes,No,"North Indian, Chinese",Brookefield
New Tasty Cafeteria,Quick Bites,3.8,376,500,Yes,No,"North Indian, Chinese, Arabian, Rolls, Juices","Byresandra,Tavarekere,Madiwala"
New Udupi Anand Bhavan,Quick Bites,3.4,5,150,No,No,South Indian,Lavelle Road
New Udupi Delicacy,Quick Bites,3.7,70,300,Yes,No,"South Indian, North Indian, Chinese",Brookefield
New Udupi Dharshini,Quick Bites,2.8,40,150,No,No,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
New Udupi Fresh Juice Centre,Quick Bites,3.4,9,200,No,No,"Juices, Desserts, Fast Food",Indiranagar
New Udupi Garden,Quick Bites,3.6,14,300,No,No,"South Indian, North Indian, Chinese",Indiranagar
New Udupi Grand,Quick Bites,3.3,5,200,No,No,"North Indian, South Indian, Chinese",Kammanahalli
New Udupi Grand Hotel,Quick Bites,3.2,5,250,No,No,"South Indian, North Indian, Chinese",Rajajinagar
New Udupi Palace,Quick Bites,3.8,70,350,Yes,No,"South Indian, North Indian, Chinese, Street Food",Electronic City
New Udupi Park,Casual Dining,3,11,400,No,No,"South Indian, North Indian, Chinese",Kalyan Nagar
New Udupi Park Deluxe,Quick Bites,3.6,77,400,No,No,"South Indian, North Indian, Chinese",Kalyan Nagar
New Udupi Shubh Sagar,Quick Bites,2.8,40,400,Yes,No,"South Indian, North Indian, Chinese",Brookefield
New Udupi Upahar,Quick Bites,2.8,40,300,No,No,"South Indian, North Indian, Chinese",Brigade Road
New Udupi Upahara,Quick Bites,3.6,84,200,No,No,"Chinese, North Indian, South Indian",Kalyan Nagar
New York Burrito,Quick Bites,3.1,7,400,No,No,Mexican,Kalyan Nagar
NGV Fast Food,Quick Bites,3.5,8,250,No,No,"North Indian, Fast Food",Koramangala 4th Block
NH-1,Delivery,3.8,376,600,Yes,No,North Indian,Bellandur
NH7 Refuel,Quick Bites,3.4,18,400,Yes,No,"North Indian, Chinese, Biryani",Lavelle Road
NH7 Resto Pub,"Casual Dining, Pub",3.3,6,1400,No,No,"Andhra, Chinese, Continental",Electronic City
NH8,Casual Dining,4.1,471,800,Yes,Yes,Rajasthani,Brookefield
Nieghbourhood Cafe,Casual Dining,3.7,39,750,No,No,"Pizza, Italian, Chinese, North Indian",Whitefield
Night Bell,Delivery,3.1,53,450,No,No,"Fast Food, North Indian","Byresandra,Tavarekere,Madiwala"
Night Biryani,"Takeaway, Delivery",3.2,20,600,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
Night Booze,"Casual Dining, Bar",3.2,8,600,No,No,"North Indian, Fast Food",Indiranagar
Night Cafe,"Takeaway, Delivery",3,44,350,No,No,"North Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala"
Night Diaries,Quick Bites,3.1,16,300,No,No,North Indian,Marathahalli
Night Food Delivery,Delivery,2.9,21,500,Yes,No,"Burger, Rolls, Sandwich, North Indian",Indiranagar
Night Food Joint,Delivery,2.8,295,500,Yes,No,"North Indian, Chinese",Brookefield
Night Fox,"Takeaway, Delivery",3.2,22,500,Yes,No,"South Indian, North Indian, Chinese",HSR
Night Hunger,Delivery,3.1,6,350,No,No,North Indian,Bannerghatta Road
Night Panda,Delivery,3.8,196,500,No,No,"Fast Food, Chinese, North Indian, American",HSR
Night Restro,Delivery,3.1,223,500,Yes,No,"North Indian, Chinese",Basavanagudi
Night Spoon,Delivery,2.4,45,400,No,No,"Fast Food, Street Food, North Indian, Biryani",Koramangala 5th Block
Nightfork,Delivery,3.7,125,500,No,No,"Chinese, Biryani, Pizza, Italian, North Indian",Koramangala 6th Block
NightOwl,"Takeaway, Delivery",2.7,31,400,No,No,North Indian,Electronic City
Nihas Hyderabadi Biryani,Quick Bites,3.2,17,300,Yes,No,"Andhra, Chinese, North Indian, South Indian",Kalyan Nagar
Niice Cream,Dessert Parlor,3.8,38,400,No,No,"Ice Cream, Beverages, Desserts","Byresandra,Tavarekere,Madiwala"
Nikhil's Food Court,Quick Bites,2.8,40,300,Yes,No,"South Indian, North Indian, Chinese, Fast Food",Brookefield
Nikki's,Casual Dining,3.1,43,600,Yes,No,"Chinese, North Indian",Malleshwaram
Nila Cafe,Quick Bites,3.6,16,400,No,No,"Kerala, South Indian",HSR
Nile Garden Restaurant,Casual Dining,2.6,33,500,Yes,No,"North Indian, Fast Food, Chinese, Beverages","Byresandra,Tavarekere,Madiwala"
Nilu Ki Rasoi,Quick Bites,3.7,37,250,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
